Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
240,Isaiah Jackson,24,IND,C,24,14,18.9,3.0,5.0,.605,0.0,0.0,,3.0,5.0,.605,.605,1.8,2.3,.778,2.3,3.3,5.6,0.8,0.9,0.8,1.2,3.1,7.8,,jacksis01
241,Bryce McGowens,23,NOP,SG,15,5,17.4,2.6,5.3,.494,0.7,1.5,.435,1.9,3.7,.518,.557,1.9,2.5,.763,0.2,1.6,1.8,1.5,0.4,0.3,0.3,1.5,7.8,,mcgowbr01
242,Nick Smith Jr.,21,LAL,SG,9,0,14.8,2.9,6.2,.464,1.6,3.2,.483,1.3,3.0,.444,.589,0.4,0.7,.667,0.1,1.0,1.1,1.6,0.8,0.2,1.2,0.6,7.8,,smithni01
243,Vince Williams Jr.,25,MEM,PG,19,11,22.2,2.7,7.8,.349,1.2,4.4,.277,1.5,3.5,.439,.426,1.2,1.5,.786,0.8,3.6,4.4,5.3,0.9,0.6,2.3,2.1,7.8,,willivi01
244,Andre Drummond,32,PHI,C,22,11,21.7,3.1,5.7,.544,0.5,1.3,.379,2.6,4.4,.594,.588,1.0,1.6,.629,3.3,6.0,9.4,0.8,0.7,0.9,0.9,2.2,7.7,,drumman01
245,Kris Dunn,31,LAC,PG,24,18,26.3,3.0,6.2,.483,0.8,2.4,.345,2.2,3.8,.571,.550,0.8,1.1,.741,0.9,1.9,2.8,2.7,1.7,0.2,1.2,2.3,7.7,,dunnkr01
246,Ryan Dunn,23,PHO,SF,19,11,23.6,3.1,6.8,.457,0.8,2.7,.314,2.3,4.1,.551,.519,0.6,0.9,.667,1.9,3.2,5.1,1.8,1.4,0.6,0.8,2.6,7.7,,dunnry01
247,Jay Huff,27,IND,C,24,8,18.8,2.7,6.2,.430,1.3,4.2,.317,1.3,2.0,.667,.537,1.0,1.3,.781,1.2,2.5,3.7,1.3,0.3,2.5,0.7,2.2,7.7,,huffja01
248,Precious Achiuwa,26,SAC,C,17,6,20.5,3.3,6.1,.544,0.2,0.9,.200,3.1,5.2,.602,.558,0.9,1.9,.455,1.9,3.5,5.4,1.0,0.8,0.5,0.5,1.6,7.6,,achiupr01
249,Kentavious Caldwell-Pope,32,MEM,SG,24,13,21.9,2.5,6.5,.382,1.2,3.4,.346,1.3,3.2,.421,.471,1.5,1.6,.921,0.4,1.9,2.3,3.1,0.7,0.2,1.3,1.0,7.6,,caldwke01
250,Jaden Ivey,23,DET,SG,9,0,13.9,2.4,5.7,.431,1.1,2.7,.417,1.3,3.0,.444,.529,1.6,1.8,.875,0.7,2.0,2.7,1.1,0.2,0.1,1.1,1.2,7.6,,iveyja01
251,Nikola Jović,22,MIA,PF,18,1,19.3,2.6,6.6,.390,0.9,3.3,.283,1.6,3.2,.500,.462,1.6,2.2,.718,0.6,3.1,3.7,2.8,0.6,0.4,1.9,2.2,7.6,,jovicni01
252,Luke Kennard,29,ATL,SG,22,0,20.7,2.6,5.5,.479,1.5,3.3,.438,1.2,2.2,.542,.612,0.9,1.0,.952,0.5,1.5,2.0,2.3,0.9,0.0,1.0,1.3,7.6,,kennalu01
253,Kyle Anderson,32,UTA,SF,8,0,18.3,3.0,5.6,.533,0.1,0.1,1.000,2.9,5.5,.523,.544,1.4,1.9,.733,0.9,1.9,2.8,3.3,1.5,0.4,0.9,2.4,7.5,,anderky01
254,Luke Kornet,30,SAS,C,15,10,25.0,2.9,4.6,.638,0.0,0.0,,2.9,4.6,.638,.638,1.7,2.1,.781,2.9,3.3,6.2,2.3,0.3,1.5,0.7,2.1,7.5,,kornelu01
255,Jared McCain,21,PHI,SG,14,0,18.0,2.9,7.5,.381,1.4,4.0,.357,1.4,3.5,.408,.476,0.4,0.4,.833,0.1,1.8,1.9,1.7,0.8,0.0,0.9,1.4,7.5,,mccaija01
256,Jamaree Bouyea,26,PHO,PG,8,0,13.4,2.9,4.5,.639,1.3,2.0,.625,1.6,2.5,.650,.778,0.4,0.5,.750,0.4,0.8,1.1,1.4,0.6,0.3,0.1,1.0,7.4,,bouyeja01
257,Isaiah Collier,21,UTA,PG,15,1,20.4,2.4,4.7,.514,0.3,0.9,.385,2.1,3.8,.544,.550,2.3,3.1,.723,0.2,1.7,1.9,5.1,0.5,0.3,2.1,1.7,7.4,,colliis01
258,Quinten Post,25,GSW,PF,25,11,17.5,2.8,6.1,.451,1.4,4.0,.350,1.4,2.1,.642,.565,0.4,0.6,.786,0.9,3.1,4.0,1.3,0.6,0.6,0.8,1.8,7.4,,postqu01
259,Pat Spencer,29,GSW,PG,17,2,15.8,2.8,6.1,.466,0.7,1.6,.444,2.1,4.5,.474,.524,1.1,1.2,.900,0.8,1.6,2.4,3.2,0.7,0.1,0.9,1.4,7.4,,spencpa01
